DataHora,Alteracoes,Total_OK,Total_NOK,Total_Produzidas,Quantidade_Meta,SKU_Nome_Produto,Ordem_Producao,Broca_Errada,Confirma_Erro,Iniciar_IHM,Interromper_IHM
2026-03-25 08:27:43.462,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,53970,53970,53970,53970,3537031890,,1,1,1,1
2026-03-25 08:27:46.142,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,56540,56540,56540,56540,3705461980,,0,0,0,0
2026-03-25 08:27:48.260,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,59110,59110,59110,59110,3873892070,,1,1,1,1
2026-03-25 08:27:50.921,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,61680,61680,61680,61680,4042322160,,0,0,0,0
2026-03-25 08:27:53.572,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,64250,64250,64250,64250,4210752250,,1,1,1,1
2026-03-25 08:27:56.216,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,1284,1284,1284,1284,84149508,,0,0,0,0
2026-03-25 08:27:58.323,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,3854,3854,3854,3854,252579598,,1,1,1,1
2026-03-25 08:28:00.973,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,6424,6424,6424,6424,421009688,,0,0,0,0
2026-03-25 08:28:03.609,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,8994,8994,8994,8994,589439778,,1,1,1,1
2026-03-25 08:28:06.255,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,11564,11564,11564,11564,757869868,,0,0,0,0
2026-03-25 08:28:08.344,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,14134,14134,14134,14134,926299958,,1,1,1,1
2026-03-25 08:28:11.004,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,16704,16704,16704,16704,1094730048,,0,0,0,0
2026-03-25 08:28:13.623,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,19274,19274,19274,19274,1263160138,,1,1,1,1
2026-03-25 08:28:16.245,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,21844,21844,21844,21844,1431590228,,0,0,0,0
2026-03-25 08:28:18.872,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,24414,24414,24414,24414,1600020318,,1,1,1,1
2026-03-25 08:28:20.903,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,26984,26984,26984,26984,1768450408,,0,0,0,0
2026-03-25 08:28:23.523,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,29554,29554,29554,29554,1936880498,,1,1,1,1
2026-03-25 08:28:26.160,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,32124,32124,32124,32124,2105310588,,0,0,0,0
2026-03-25 08:28:28.829,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,34694,34694,34694,34694,2273740678,,1,1,1,1
2026-03-25 08:28:30.940,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,37264,37264,37264,37264,2442170768,,0,0,0,0
2026-03-25 08:28:33.566,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,39834,39834,39834,39834,2610600858,,1,1,1,1
2026-03-25 08:28:36.212,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,42404,42404,42404,42404,2779030948,,0,0,0,0
2026-03-25 08:28:38.913,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,44974,44974,44974,44974,2947461038,,1,1,1,1
2026-03-25 08:28:41.063,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,47544,47544,47544,47544,3115891128,,0,0,0,0
2026-03-25 08:28:43.713,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,50114,50114,50114,50114,3284321218,,1,1,1,1
2026-03-25 08:28:46.441,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,52684,52684,52684,52684,3452751308,,0,0,0,0
2026-03-25 08:28:48.595,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,55254,55254,55254,55254,3621181398,,1,1,1,1
2026-03-25 08:28:51.334,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,57824,57824,57824,57824,3789611488,,0,0,0,0
2026-03-25 08:28:53.558,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,60394,60394,60394,60394,3958041578,,1,1,1,1
2026-03-25 08:28:56.254,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,62964,62964,62964,62964,4126471668,,0,0,0,0
2026-03-25 08:28:59.015,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,65534,65534,65534,65534,4294901758,,1,1,1,1
2026-03-25 08:29:01.128,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,2568,2568,2568,2568,168299016,,0,0,0,0
2026-03-25 08:29:03.812,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,5138,5138,5138,5138,336729106,,1,1,1,1
2026-03-25 08:29:06.502,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,7708,7708,7708,7708,505159196,,0,0,0,0
2026-03-25 08:29:08.558,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,10278,10278,10278,10278,673589286,,1,1,1,1
2026-03-25 08:29:11.185,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,12848,12848,12848,12848,842019376,,0,0,0,0
2026-03-25 08:29:13.805,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,15418,15418,15418,15418,1010449466,,1,1,1,1
2026-03-25 08:29:16.504,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,17988,17988,17988,17988,1178879556,,0,0,0,0
2026-03-25 08:29:18.607,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,20558,20558,20558,20558,1347309646,,1,1,1,1
2026-03-25 08:29:21.286,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,23128,23128,23128,23128,1515739736,,0,0,0,0
2026-03-25 08:29:23.949,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,25698,25698,25698,25698,1684169826,,1,1,1,1
2026-03-25 08:29:26.119,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,28268,28268,28268,28268,1852599916,,0,0,0,0
2026-03-25 08:29:28.759,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,30838,30838,30838,30838,2021030006,,1,1,1,1
2026-03-25 08:29:31.406,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,33408,33408,33408,33408,2189460096,,0,0,0,0
2026-03-25 08:29:33.543,Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,33408,33408,33408,33408,2189460096,,1,1,1,1
2026-03-25 08:29:34.062,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto,35978,35978,35978,35978,2357890186,,1,1,1,1
2026-03-25 08:29:36.209,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,38548,38548,38548,38548,2526320276,,0,0,0,0
2026-03-25 08:29:38.954,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,41118,41118,41118,41118,2694750366,,1,1,1,1
2026-03-25 08:29:41.106,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,43688,43688,43688,43688,2863180456,,0,0,0,0
2026-03-25 08:29:43.930,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,46258,46258,46258,46258,3031610546,,1,1,1,1
2026-03-25 08:29:46.136,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,48828,48828,48828,48828,3200040636,,0,0,0,0
2026-03-25 08:29:48.867,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,51398,51398,51398,51398,3368470726,,1,1,1,1
2026-03-25 08:29:51.559,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,53968,53968,53968,53968,3536900816,,0,0,0,0
2026-03-25 08:29:53.774,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,56538,56538,56538,56538,3705330906,,1,1,1,1
