DataHora,Alteracoes,Total_OK,Total_NOK,Total_Produzidas,Quantidade_Meta,SKU_Nome_Produto,Ordem_Producao,Broca_Errada,Confirma_Erro,Iniciar_IHM,Interromper_IHM
2026-03-16 13:44:27.287,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,39816,39816,39816,39816,2609421192,??,,,0,0
2026-03-16 13:44:29.957,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,42386,42386,42386,42386,2777851282,??,,,1,1
2026-03-16 13:44:32.097,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,44956,44956,44956,44956,2946281372,??,,,0,0
2026-03-16 13:44:34.777,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,47526,47526,47526,47526,3114711462,??,,,1,1
2026-03-16 13:44:37.458,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,50096,50096,50096,50096,3283141552,??,,,0,0
2026-03-16 13:44:39.587,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,52666,52666,52666,52666,3451571642,??,,,1,1
2026-03-16 13:44:42.238,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,55236,55236,55236,55236,3620001732,??,,,0,0
2026-03-16 13:44:44.912,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,57806,57806,57806,57806,3788431822,??,,,1,1
2026-03-16 13:44:47.048,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,60376,60376,60376,60376,3956861912,??,,,0,0
2026-03-16 13:44:49.702,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,62946,62946,62946,62946,4125292002,??,,,1,1
2026-03-16 13:44:52.369,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,65516,65516,65516,65516,4293722092,??,,,0,0
2026-03-16 13:44:55.028,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,2550,2550,2550,2550,167119350,?,,,1,1
2026-03-16 13:44:57.172,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,5120,5120,5120,5120,335549440,,,,0,0
2026-03-16 13:44:59.853,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,7690,7690,7690,7690,503979530,,,,1,1
